meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label,neuro1,neuro1 (female),neuro1 (male),Random Forest,Random Forest (female),Random Forest (male),kNN,kNN (female),kNN (male),AdaBoost,AdaBoost (female),AdaBoost (male),SVM,SVM (female),SVM (male)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,continuous,continuous,discrete,continuous,continuous,discrete,continuous,continuous,discrete,continuous,continuous
,,,,,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
0.6963963555489382,0.09399102426540872,0.6927091059438221,0.7030071246291655,0.7018164305129816,0.06824178245753139,0.07267839622508976,0.006498739078657851,0.34174116437120705,0.15260227527917297,0.6451612903225821,0.6963963555489382,0.6438394767867647,0.07060850844421944,0.9549628905476907,0.05788693760443933,0.0064516129032258064,0.010007147962830594,0.010014306151645207,0.11682925485008767,female,female,0.9999999999998658,1.3424852629362262e-13,female,1.0,0.0,female,1.0,0.0,female,0.9999999999999998,2.220446049250318e-16,female,0.9854052757282267,0.014594724271773338
0.7060593936387616,0.43289998692470244,0.737513197155286,0.5578014002718358,0.8677174682211679,0.38013553170270903,0.039199289352280904,0.0022703854503964543,0.7017752984884598,0.41851535336339624,0.5013774104683179,0.7060593936387616,0.4258031554833054,0.21137890230745132,0.9637165666375743,0.2875126903553296,0.04086021505376344,0.39849892780557544,0.398068669527897,0.105871869673407,male,male,0.3091286437546371,0.6908713562453629,male,0.0,1.0,male,0.0,1.0,male,2.220446049250318e-16,0.9999999999999998,male,2.6324482851373677e-06,0.9999973675517149
0.5257904577699947,0.7095645408012196,0.652646604852791,0.28098940581232384,0.794435342697438,0.5968755538483778,0.07119579850777157,0.0154950324892294,0.9477720699250497,0.9240669077667697,0.1792183031458532,0.5257904577699947,0.29892862514052926,0.038520630237302726,0.9292854406840407,0.41803250124870683,0.0064516129032258064,0.25411007862759116,0.2542918454935622,0.3565046332470933,male,male,0.3091286437546371,0.6908713562453629,male,0.0,1.0,male,0.0,1.0,male,2.220446049250318e-16,0.9999999999999998,male,0.0047047524288462775,0.9952952475711535
0.681448971100655,0.22953017024766684,0.6855509102857487,0.6322928651990208,0.7144596620961013,0.15403112613248662,0.05529776790469525,0.004141016642820394,0.6553953153295851,0.34370674137272816,0.6322869955156963,0.681448971100655,0.5144788148074402,0.045664192070762694,0.9044498744224728,0.1839064224233059,0.0064516129032258064,0.15618298784846318,0.15629470672389129,0.1785798366017023,female,female,0.9999524845579869,4.751544201305744e-05,female,1.0,0.0,female,0.8,0.2,female,0.9999999999999998,2.220446049250318e-16,female,0.8770179543996323,0.12298204560036788
0.7829417756289848,0.2185535761399682,0.798521840089323,0.7544483697632324,0.8066946909601511,0.11648059395695917,0.05661472338334636,0.004201581097281732,0.564428771725055,0.29154607948646655,0.8031609195402285,0.7829417756289848,0.5446791216134038,0.19211833480099866,0.9905847863122964,0.5325735839971111,0.4021505376344086,0.49392423159399573,0.48605150214592274,0.12188678567909664,female,female,0.9999999998280233,1.7197666613384303e-10,female,1.0,0.0,female,1.0,0.0,female,0.9999999999999998,2.220446049250318e-16,female,0.9834766073662125,0.016523392633787472
0.48372814595386104,0.706722236905263,0.6235886386262519,0.18078072575203494,0.7566199372125754,0.6643903116885077,0.025618910177751208,0.0011626075466830512,0.9327841289718216,0.8958625025799352,0.6823289070480071,0.48372814595386104,0.6911156695570767,0.38308224359667187,0.8804154554596664,0.14845876554108722,0.05806451612903226,0.04217298070050036,0.04113018597997139,0.41474850809889147,female,female,0.9999999999995114,4.886167970626374e-13,female,1.0,0.0,female,1.0,0.0,female,0.9999999999999998,2.220446049250318e-16,female,0.9718446667960838,0.02815533320391619
0.6927682231172426,0.39799922329609333,0.7871594679208148,0.5183023002510144,0.797196296904174,0.3528040071902161,0.060158411014516674,0.005277064450870936,0.7130824713950503,0.470446968344931,0.8087378640776715,0.6927682231172426,0.29354387858065484,0.15251008992423723,0.3514104607628682,0.16041870290380544,0.0064516129032258064,0.12401715511079343,0.12410586552217454,0.19506805343073902,male,male,0.3091286437546371,0.6908713562453629,male,0.0,1.0,male,0.0,1.0,male,2.220446049250318e-16,0.9999999999999998,male,6.82599200529744e-06,0.9999931740079947
0.46746433703173745,0.528497805658538,0.45765347331509115,0.3642106819806731,0.6904111814801882,0.40944786777383985,0.05099417353371965,0.004609627935487005,0.9282573908859582,0.887200012909778,0.3670788253477571,0.46746433703173745,0.28810502677215005,0.03220115796274269,0.9815257697169857,0.05385124696534986,0.0064516129032258064,0.10614724803431022,0.10622317596566523,0.021323364944764167,male,male,0.3091286437546371,0.6908713562453629,male,0.0,1.0,male,0.0,1.0,male,2.220446049250318e-16,0.9999999999999998,male,8.979397444779434e-06,0.9999910206025552
